compound_name	CURATE_species	CURATE_publication_doi	n_spectra	max_peaks	in_export	missing	needs_structure_too	formula	compound_class	inchikey	smiles	name_variants
Akanthopyrone B			3	266	P4	species;publication;structure	YES	C25H42O11		MBYABXDSJYHYQZ-XSHYYGNTSA-N		
Daldinin EF			3	222	P3+P4	species;publication;structure	YES	C24H28O9		N/A		
Fulvoferruginin B			3	111	P4	species;publication;structure	YES	C15H20O3		NIADUYGOMRZDBJ-QIRZIZBZSA-N		
Heimiomycin D			3	249	P3	species;publication		C22H24O7	Terpenoids	UTFNFJGYVPYTEJ-GXSJLCMTSA-N	CC(C)C1(CCC(C)(C2=C1C(=C(C=O)C(=C2O)O)C=3C(C(=C(C)C(C3O)=O)O)=O)[H])[H]	
Heimionone B			3	278	P3	species;publication;structure	YES	C22H28O5		UGODOQRMDALGQK-BMBUGPIYSA-N		
Illudaneol			3	194	P3	species;publication;structure	YES	C15H22O3		GHFRGNHGUDJTGJ-OAHLLOKOSA-N		
Isochromophilonol A1/A2			3	1230	P3	species;publication;structure	YES	C23H27ClO5		SSNLCVXEGIPQES-DALSRYILSA-N		
Italicic acid methyl ester			3	98	P4	species;publication		C16H18O6	Polyketides	JXPYUBCGMFPIBF-UHFFFAOYSA-N	CCCCC1(C)C=CC(=C2C(C(=C(C(=O)OC)[H])OC2=O)=O)O1	
Leucinostatin U			3	1203	P3+P4	species;publication;structure	YES	C58H105N10O13		BNFJBHCORXYILM-JJSZLYBCSA-O		
Lupallene D			3	62	P3+P4	species;publication;structure	YES	C18H26O5		UGXODBMUJCBGKG-UHFFFAOYSA-N		
Melleolid J			3	217	P3	species;publication;structure	YES	C24H29ClO7		LNEWYAZEAYTKQI-UEXMDZLUSA-N		
Methylvermelhotin			3	182	P3+P4	species;publication		C13H13NO3	Polyketides	NBLRSPCFGYCXHJ-UHFFFAOYSA-N	CC(=C(C1=C(C)C=CC(=C2C(CN=C2O)=O)O1)[H])[H]	
Pyrichalasin J			3	39	P3+P4	species;publication;structure	YES	C29H37NO4		N/A		
Rickiol F			3	114	P4	species;publication;structure	YES	C24H44O5		WFHNHKIPMIIXND-RWFKHETPSA-N		
Xanthoquinodin B10			3	589	P3	species;publication		C35H32O12	Polyketides	OFEOEDKSDPBJNK-NKUSYRMFSA-N	CCCC(=O)OC1(C=2C=C(C)C=C(C2C(=C3C(C4(C=CC31CC5=CC(=C6C(C7=C(CCC(C7(C(=O)OC)OC6=C54)(O)[H])O)=O)O)[H])=O)O)O)[H]	
(R)-Semivioxanthin			2	328	P4	species;publication		C15H14O5	Shikimates and Phenylpropanoids	BWNCKEBBYADFPQ-SSDOTTSWSA-N	CC1(CC2=CC3=CC(=CC(=C3C(=C2C(=O)O1)O)O)OC)[H]	
19-O-Acetyl chaetoglobosin A			2	93	P3+P4	species;publication;structure	YES	C34H38N2O6		N/A		
5-Methoxycarbonylmellein			2	67	P4	species;publication		C12H12O5		IJVMFVNOQBFBBA-HKGPVOKGSA-N	C[C@H]1CC2=C(C=CC(=C2C(=O)O1)O)C(=O)OC.C[C@H]1CC2=C(C=CC(=C2C(=O)O1)O)C(=O)OC	
5-Methoxysterigmatocystin			2	249	P3	species;publication;structure	YES	C19H14O7		VVRUNWFPOWIBDY-WPCRTTGESA-N		
"6""-Hydroxymitorubrinol"			2	162	P3	species;publication;structure	YES	C21H18O9		N/A		
6-epi-cytochalasin P1			2	4	P4	species;publication;structure	YES	C30H39NO8		N/A		
Arthrichitin B			2	5	P4	species;publication;structure	YES	C33H48N4O8		N/A		
Bis-Heimiomycin B			2	994	P4	species;publication		C36H40O9	Terpenoids	RJFIFLLNROWBAM-WNRNVDISSA-N	CC(C)C1(CCC(C)(C2=C1C(=C(C=O)C(=C2O)O)C3=C(C(C=4C5=C(COC4C3=O)C(=C(C=6C(C)(CCC(C(C)C)(C65)[H])[H])O)O)=O)O)[H])[H]	
Cordyanhydrid B			2	724	P3	species;publication;structure	YES	C29H32O11		PHRCULZLDFTOFU-BQYQJAHWSA-N		
cyclo(L-Phe-L-Pro)			2	52	P3+P4	species;publication		C14H16N2O2		QZBUWPVZSXDWSB-RYUDHWBXSA-N	C1C[C@H]2C(=O)N[C@H](C(=O)N2C1)CC3=CC=CC=C3	
Engleromycin			2	4	P4	species;publication		C28H35NO6		KHXIYTOCQZQSDM-XYOKQWHBSA-N	CC1C/C=C/C2C(C(=C)C(C3C2(CC4(C(O4)C(C1=O)(C)O)O)C(=O)NC3CC5=CC=CC=C5)C)O	
Ergokonin A			2	349	P3	species;publication;structure	YES	C34H53NO10S		ISIMKBKTIVYXIT-CXCWBWGXSA-N		
Heimiocalamene A			2	64	P3+P4	species;publication;structure	YES	C15H22O2		RCGTUQOTSVCVCF-CMPLNLGQSA-N		
Macrocidin Z			2	82	P3	species;publication		C20H23NO4	Shikimates and Phenylpropanoids	QEPWVSUNMKZYAH-CJNGLKHVSA-N	CC1(CCCC(=C(COC2=CC=C(C=C2)CC3(C(C(=C1O)C(=N3)O)=O)[H])[H])[H])[H]	
Massarilactone H			2	38	P3+P4	species;publication		C11H12O5		ZVRUDYNVKYYNCW-ONEGZZNKSA-N	C/C=C/C1C(C(C2=C(O1)C(=C)OC2=O)O)O	
Melledonal C			2	377	P4	species;publication		C24H29ClO8		RCBZBPPFXBBNCD-IQEKTTGQSA-N	CC1=C(C(=CC(=C1Cl)OC)O)C(=O)O[C@@H]2C[C@]3([C@@]2(C(=C[C@]4([C@@H]3[C@H](C(C4)(C)C)O)O)C=O)O)C	
Melleolide BH			2	308	P3+P4	species;publication;structure	YES	C48H60O13		N/A		
Melleolide linoleate			2	66	P3+P4	species;publication;structure	YES	C41H58O7		N/A		
Multifromin I			2	18	P3	species;publication;structure	YES	C23H30O6		N/A		
Rickenyl E or D?			2	418	P3	species;publication;structure	YES	C21H18O6		N/A		
Terphenyl-Derivat C			2	146	P3	species;publication;structure	YES	C21H20O6		SKKUPTPBYKRTOQ-UHFFFAOYSA-N		
Terphenyl-Derivat D			2	1010	P4	species;publication;structure	YES	C21H18O6		QOFOPUXDBNNMHW-UHFFFAOYSA-N		
Xanthoquinodin A11			2	714	P4	species;publication;structure	YES	C35H32O12		NNDQQXKLLBQGJV-PFPMWLNGSA-N		
Xanthoquinodin B11			2	1102	P4	species;publication;structure	YES	C35H32O12		DMNVAUVBGPZALF-NNDCRWLCSA-N		
Xanthoquinodin B12			2	1123	P3+P4	species;publication;structure	YES	C35H32O13		FMBSYEPYXXBTGH-ZIYRBHPRSA-N		
Xanthoquinodin B13			2	1543	P4	species;publication;structure	YES	C33H28O12		MIXHWSDHAMCPPR-AXBVMLDUSA-N		
19;20-epoxycytochalasin D			1	8	P3	species;publication;structure	YES	C30H37NO7		WHJRAYUHVRYTTH-MQQXPATASA-N		
Akanthopyrone C			1	256	P3	species;publication;structure	YES	C25H42O10		XXUPZZCHTILLMJ-XSHYYGNTSA-N		
CBS123585-F2-1-2			1	329	P3	species;publication;structure	YES	C20H28O4		BUWDNPHDSFZGPW-MPCUKPJOSA-N		
Fumigaclavine A			1	295	P4	species;publication		C18H22N2O2	Alkaloids	GJSSYQDXZLZOLR-ONUGHKICSA-N	CC1(CN(C)C2(CC3=CNC4=CC=CC(=C34)C2(C1(OC(C)=O)[H])[H])[H])[H]	
Heimiocalamene B			1	68	P4	species;publication		C15H18O4	Shikimates and Phenylpropanoids / Terpenoids	YXEBTVUHQLPMEL-UHFFFAOYSA-N	CC(C)C1=C2C=C(CCC2=C(C)C(=C1O)O)C(=O)O	
Isocochliodinol			1	32	P3	species;publication;structure	YES	C32H30N2O4		DMPXDLRQZYXVHL-UHFFFAOYSA-N		
Libertellenon C			1	279	P3	species;publication;structure	YES	C20H28O5		YFSWTQQLSUEQBY-CNVPOBLBSA-N		
Multiformin H			1	20	P4	species;publication;structure	YES	C24H26O7		N/A		
Ophiotine			1	3	P3	species;publication;structure	YES	C45H62N8O10		N/A		
